unique_id,duration_actual,n_actual,duration_predicted,n_predicted
10/1,73.93333333333334,30,67.21212121212122,33
102/1,59.46478873239432,71,74.07017543859654,57
102/3,23.79545454545454,176,27.01935483870968,155
102/4,23.215686274509803,51,32.888888888888886,36
103/1,142.47058823529412,17,134.55555555555554,18
105/1,83.5,16,95.42857142857143,14
106/1,242.2857142857143,21,242.2857142857143,21
107/1,66.15384615384615,26,66.15384615384615,26
107/2,83.09803921568626,51,86.48979591836735,49
107/3,129.4857142857143,35,133.29411764705884,34
107/4,67.49152542372882,59,78.078431372549,51
108/2,34,37,38.121212121212125,33
109/1,48.76190476190476,21,48.76190476190476,21
11/1,21.772972972972966,185,27.589041095890405,146
110/1,147.85714285714286,28,118.28571428571428,35
110/2,148.57142857142858,21,148.57142857142858,21
110/4,264.8,15,248.25,16
111/2,26.4235294117647,85,30.35135135135135,74
111/3,30.91111111111111,90,37.09333333333332,75
111/4,31.22666666666667,75,36.59375,64
112/2,22.662921348314605,178,26.53947368421053,152
115/1,35.77777777777778,45,43.51351351351351,37
116/1,53.53846153846154,13,63.272727272727266,11
119/1,37.88,50,38.65306122448979,49
120/1,19.3578947368421,190,23.883116883116898,154
120/2,21.221621621621615,185,27.07586206896551,145
120/4,28.325000000000003,80,39.75438596491229,57
121/1,28.83636363636363,165,35.77443609022557,133
123/1,86.74074074074073,27,70.96969696969695,33
123/2,113.4782608695652,23,163.125,16
123/3,140.48,25,175.6,20
123/4,215.66666666666666,18,277.28571428571433,14
124/3,43.81159420289856,138,57.037735849056595,106
124/4,36.064516129032256,93,41.925,80
125/1,33.5042735042735,117,35.63636363636364,110
125/2,92.68292682926828,41,126.66666666666667,30
125/3,34.63414634146342,41,41.764705882352956,34
125/4,53.51219512195122,41,62.68571428571428,35
128/1,36,120,42.35294117647059,102
128/2,39.371794871794854,156,47.612403100775175,129
128/3,54.58139534883719,86,66.11267605633802,71
128/4,51.303370786516865,89,64.30985915492957,71
130/1,23.254901960784316,51,28.926829268292686,41
130/2,68.47619047619048,21,65.36363636363636,22
130/3,47.690140845070424,71,61.56363636363638,55
130/4,51.25,88,59.34210526315788,76
132/4,68.0952380952381,21,71.5,20
133/1,28.11920529801325,151,29.48611111111111,144
133/3,31.73737373737373,99,30.504854368932033,103
134/1,43.6,95,51.775000000000006,80
136/1,109.89999999999996,40,137.375,32
136/2,53.39240506329115,79,45.354838709677416,93
136/3,33.577777777777776,90,35.976190476190474,84
136/4,98.2439024390244,41,129.93548387096772,31
138/3,79.59999999999998,25,99.5,20
138/4,125.80952380952378,21,155.41176470588238,17
139/1,40.57831325301204,83,45.5135135135135,74
139/2,240.38095238095244,21,280.4444444444445,18
139/3,43.739999999999995,100,37.06779661016951,118
140/1,42.57142857142858,28,62.73684210526316,19
141/2,58.10526315789474,57,49.43283582089552,67
141/3,69.81818181818186,55,89.30232558139534,43
141/4,52.50632911392406,79,66.90322580645162,62
145/2,152.38095238095235,21,168.42105263157896,19
145/3,104.59999999999998,20,110.10526315789474,19
145/4,106.73684210526315,19,119.29411764705881,17
148/2,68.89285714285715,56,85.73333333333332,45
148/3,117.52631578947367,38,135.33333333333334,33
148/4,70.65454545454547,55,76.19607843137254,51
149/1,191.2,15,239,12
149/2,81.42857142857142,21,100.58823529411764,17
149/3,103.14285714285715,35,133.7037037037037,27
149/4,72.10526315789471,57,42.8125,96
150/1,25.121019108280247,157,34.90265486725664,113
150/3,36.6923076923077,78,41.478260869565204,69
150/4,39.025,80,31.535353535353543,99
151/1,37.02222222222222,90,42.717948717948715,78
151/2,31.97674418604651,86,31.60919540229885,87
151/3,32,43,34.4,40
151/4,27.857142857142858,42,45,26
153/1,31.74193548387096,62,34.52631578947368,57
153/2,35.59322033898305,59,36.8421052631579,57
153/3,43.39805825242719,103,53.21428571428572,84
153/4,61.588235294117666,68,41.058823529411775,102
155/1,20.902439024390244,82,28.56666666666667,60
157/1,102.90476190476188,42,83.11538461538463,52
159/1,94.95652173913041,46,34.66666666666668,126
